<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
02/07/22;07:56:00;1556.6000000;1556.8000000;1555.8000000;1555.8000000;128
02/07/22;07:57:00;1555.8000000;1556.6000000;1555.6000000;1555.6000000;31
02/07/22;07:58:00;1556.6000000;1556.8000000;1556.6000000;1556.8000000;4
02/07/22;07:59:00;1556.6000000;1556.8000000;1556.6000000;1556.8000000;32
02/07/22;08:00:00;1555.8000000;1556.8000000;1555.8000000;1556.8000000;10
02/07/22;08:01:00;1556.8000000;1556.8000000;1556.0000000;1556.0000000;18
02/07/22;08:02:00;1557.0000000;1557.2000000;1556.0000000;1557.0000000;109
02/07/22;08:03:00;1557.0000000;1557.0000000;1556.0000000;1556.8000000;78
02/07/22;08:04:00;1555.8000000;1555.8000000;1555.8000000;1555.8000000;0
02/07/22;08:05:00;1555.8000000;1556.0000000;1555.4000000;1555.8000000;26
02/07/22;08:06:00;1555.8000000;1556.0000000;1555.4000000;1555.4000000;129
02/07/22;08:07:00;1555.4000000;1555.4000000;1554.4000000;1555.0000000;1737
02/07/22;08:08:00;1554.8000000;1555.8000000;1554.4000000;1554.4000000;184
02/07/22;08:09:00;1554.2000000;1555.0000000;1554.2000000;1555.0000000;3
02/07/22;08:10:00;1555.0000000;1555.6000000;1555.0000000;1555.6000000;104
02/07/22;08:11:00;1555.0000000;1555.4000000;1554.2000000;1555.4000000;710
02/07/22;08:12:00;1554.4000000;1556.0000000;1554.4000000;1554.8000000;41
02/07/22;08:13:00;1554.8000000;1556.2000000;1554.8000000;1555.2000000;58
02/07/22;08:14:00;1556.0000000;1556.0000000;1555.2000000;1556.0000000;15
02/07/22;08:15:00;1555.2000000;1555.8000000;1554.8000000;1554.8000000;36
02/07/22;08:16:00;1555.6000000;1555.6000000;1554.8000000;1554.8000000;8
02/07/22;08:17:00;1554.8000000;1556.0000000;1554.8000000;1556.0000000;123
02/07/22;08:18:00;1555.8000000;1556.0000000;1555.0000000;1555.0000000;40
02/07/22;08:19:00;1556.0000000;1556.2000000;1555.2000000;1556.2000000;126
02/07/22;08:20:00;1556.2000000;1556.2000000;1555.8000000;1555.8000000;42
02/07/22;08:21:00;1556.0000000;1556.2000000;1555.0000000;1556.0000000;215
02/07/22;08:22:00;1555.8000000;1555.8000000;1555.0000000;1555.6000000;96
02/07/22;08:23:00;1555.4000000;1555.6000000;1554.8000000;1554.8000000;4
02/07/22;08:24:00;1554.8000000;1556.0000000;1554.8000000;1554.8000000;125
02/07/22;08:25:00;1554.8000000;1555.8000000;1554.6000000;1555.8000000;283
02/07/22;08:26:00;1555.4000000;1555.6000000;1554.6000000;1555.2000000;131
02/07/22;08:27:00;1555.0000000;1555.0000000;1554.6000000;1554.6000000;12
02/07/22;08:28:00;1554.6000000;1555.0000000;1554.4000000;1555.0000000;21
02/07/22;08:29:00;1555.0000000;1555.0000000;1554.4000000;1554.6000000;38
02/07/22;08:30:00;1554.6000000;1554.6000000;1554.6000000;1554.6000000;4
02/07/22;08:31:00;1555.4000000;1555.4000000;1553.8000000;1553.8000000;1488
02/07/22;08:32:00;1553.2000000;1554.0000000;1552.0000000;1553.2000000;1482
02/07/22;08:33:00;1554.2000000;1554.2000000;1553.6000000;1553.6000000;5
02/07/22;08:34:00;1553.4000000;1554.2000000;1553.4000000;1554.2000000;23
02/07/22;08:35:00;1554.2000000;1554.2000000;1553.6000000;1554.2000000;12
02/07/22;08:36:00;1553.8000000;1554.2000000;1553.4000000;1554.2000000;17
02/07/22;08:37:00;1554.2000000;1554.2000000;1554.0000000;1554.0000000;1128
02/07/22;08:38:00;1554.6000000;1555.2000000;1554.0000000;1555.2000000;97
02/07/22;08:39:00;1555.2000000;1555.2000000;1554.2000000;1555.2000000;6
02/07/22;08:40:00;1555.2000000;1555.2000000;1555.2000000;1555.2000000;21
02/07/22;08:41:00;1555.2000000;1555.2000000;1554.2000000;1554.2000000;185
02/07/22;08:42:00;1554.4000000;1555.2000000;1554.2000000;1555.0000000;22
02/07/22;08:43:00;1555.0000000;1555.0000000;1554.0000000;1554.0000000;19
02/07/22;08:44:00;1554.0000000;1554.8000000;1553.4000000;1554.2000000;121
02/07/22;08:45:00;1554.2000000;1555.4000000;1554.2000000;1555.4000000;42
02/07/22;08:46:00;1555.0000000;1555.6000000;1554.2000000;1555.2000000;95
02/07/22;08:47:00;1555.0000000;1555.0000000;1554.2000000;1555.0000000;71
02/07/22;08:48:00;1554.2000000;1555.0000000;1554.2000000;1555.0000000;33
02/07/22;08:49:00;1555.2000000;1555.8000000;1554.4000000;1554.4000000;31
02/07/22;08:50:00;1555.6000000;1555.6000000;1553.8000000;1553.8000000;122
02/07/22;08:51:00;1553.8000000;1554.8000000;1553.8000000;1553.8000000;28
02/07/22;08:52:00;1553.8000000;1555.2000000;1553.4000000;1553.4000000;123
02/07/22;08:53:00;1553.4000000;1554.6000000;1553.4000000;1554.2000000;120
02/07/22;08:54:00;1553.2000000;1554.4000000;1553.2000000;1553.2000000;83
02/07/22;08:55:00;1554.0000000;1554.0000000;1554.0000000;1554.0000000;10
02/07/22;08:56:00;1553.2000000;1555.2000000;1553.0000000;1555.2000000;114
02/07/22;08:57:00;1554.6000000;1554.6000000;1554.0000000;1554.0000000;15
02/07/22;08:58:00;1554.0000000;1554.6000000;1554.0000000;1554.6000000;8
02/07/22;08:59:00;1554.6000000;1554.6000000;1553.2000000;1554.0000000;249
02/07/22;09:00:00;1553.2000000;1554.4000000;1553.2000000;1554.2000000;8
02/07/22;09:01:00;1553.4000000;1554.6000000;1553.2000000;1554.6000000;242
02/07/22;09:02:00;1553.2000000;1556.0000000;1553.2000000;1554.4000000;1514
02/07/22;09:03:00;1554.0000000;1555.8000000;1554.0000000;1555.8000000;19
02/07/22;09:04:00;1556.0000000;1557.0000000;1555.0000000;1557.0000000;1044
02/07/22;09:05:00;1557.0000000;1557.2000000;1556.4000000;1556.4000000;269
02/07/22;09:06:00;1556.4000000;1557.0000000;1556.2000000;1556.2000000;507
02/07/22;09:07:00;1557.0000000;1557.2000000;1556.0000000;1557.0000000;26
02/07/22;09:08:00;1557.0000000;1557.0000000;1556.0000000;1556.4000000;103
02/07/22;09:09:00;1555.4000000;1555.4000000;1555.4000000;1555.4000000;2
02/07/22;09:10:00;1556.4000000;1556.4000000;1555.4000000;1556.4000000;5
02/07/22;09:11:00;1555.4000000;1556.2000000;1555.2000000;1556.0000000;7
02/07/22;09:12:00;1556.2000000;1556.2000000;1555.2000000;1556.2000000;10
02/07/22;09:13:00;1556.4000000;1556.4000000;1555.2000000;1555.2000000;2
02/07/22;09:14:00;1555.2000000;1555.2000000;1553.6000000;1553.6000000;1521
02/07/22;09:15:00;1553.6000000;1554.6000000;1553.6000000;1554.4000000;8
02/07/22;09:16:00;1554.0000000;1554.0000000;1552.6000000;1552.6000000;1308
02/07/22;09:17:00;1552.6000000;1554.0000000;1552.0000000;1554.0000000;1247
02/07/22;09:18:00;1553.6000000;1555.0000000;1553.4000000;1554.8000000;333
02/07/22;09:19:00;1553.8000000;1554.6000000;1553.4000000;1554.6000000;17
02/07/22;09:20:00;1554.6000000;1554.6000000;1553.6000000;1554.0000000;48
02/07/22;09:21:00;1553.6000000;1553.6000000;1552.6000000;1552.6000000;88
02/07/22;09:22:00;1553.6000000;1554.6000000;1553.6000000;1554.6000000;49
02/07/22;09:23:00;1554.6000000;1555.8000000;1554.6000000;1554.8000000;91
02/07/22;09:24:00;1555.2000000;1555.2000000;1554.0000000;1554.8000000;62
02/07/22;09:25:00;1554.0000000;1554.6000000;1553.8000000;1554.4000000;40
02/07/22;09:26:00;1553.4000000;1553.6000000;1553.4000000;1553.6000000;9
02/07/22;09:27:00;1554.4000000;1554.4000000;1553.6000000;1554.4000000;12
02/07/22;09:28:00;1554.4000000;1554.6000000;1553.2000000;1553.2000000;156
02/07/22;09:29:00;1555.0000000;1555.0000000;1553.2000000;1553.4000000;109
02/07/22;09:30:00;1553.4000000;1556.4000000;1553.4000000;1556.4000000;198
02/07/22;09:31:00;1557.0000000;1557.2000000;1555.4000000;1557.0000000;161
02/07/22;09:32:00;1557.0000000;1557.2000000;1555.6000000;1555.6000000;113
02/07/22;09:33:00;1555.6000000;1556.8000000;1555.0000000;1556.4000000;185
02/07/22;09:34:00;1555.2000000;1558.6000000;1555.2000000;1557.0000000;400
02/07/22;09:35:00;1558.0000000;1558.0000000;1556.8000000;1556.8000000;122
02/07/22;09:36:00;1556.4000000;1556.8000000;1556.2000000;1556.6000000;41
02/07/22;09:37:00;1556.8000000;1556.8000000;1555.2000000;1555.2000000;365
02/07/22;09:38:00;1555.2000000;1556.2000000;1555.0000000;1555.4000000;60
02/07/22;09:39:00;1556.8000000;1557.4000000;1555.8000000;1556.2000000;97
02/07/22;09:40:00;1556.2000000;1556.2000000;1555.2000000;1555.2000000;48
02/07/22;09:41:00;1555.2000000;1556.0000000;1555.0000000;1556.0000000;59
02/07/22;09:42:00;1556.0000000;1556.2000000;1555.2000000;1556.2000000;616
02/07/22;09:43:00;1557.0000000;1557.0000000;1555.2000000;1556.4000000;53
02/07/22;09:44:00;1555.2000000;1557.0000000;1555.2000000;1557.0000000;3
02/07/22;09:45:00;1557.2000000;1558.2000000;1557.2000000;1558.2000000;1030
02/07/22;09:46:00;1557.6000000;1559.0000000;1557.4000000;1557.8000000;598
02/07/22;09:47:00;1558.6000000;1559.2000000;1558.0000000;1559.2000000;63
02/07/22;09:48:00;1559.0000000;1559.4000000;1558.6000000;1559.4000000;729
02/07/22;09:49:00;1559.4000000;1559.4000000;1559.4000000;1559.4000000;62
02/07/22;09:50:00;1558.8000000;1559.4000000;1557.6000000;1558.8000000;849
02/07/22;09:51:00;1559.0000000;1559.4000000;1558.2000000;1559.2000000;50
02/07/22;09:52:00;1559.2000000;1559.4000000;1558.2000000;1558.2000000;1495
02/07/22;09:53:00;1559.0000000;1559.4000000;1558.2000000;1559.2000000;352
02/07/22;09:54:00;1559.0000000;1559.0000000;1557.6000000;1558.0000000;224
02/07/22;09:55:00;1558.8000000;1558.8000000;1557.4000000;1557.4000000;137
02/07/22;09:56:00;1557.6000000;1559.4000000;1557.6000000;1559.4000000;1857
02/07/22;09:57:00;1558.8000000;1559.4000000;1558.8000000;1559.4000000;1605
02/07/22;09:58:00;1559.4000000;1559.4000000;1557.8000000;1559.2000000;115
02/07/22;09:59:00;1559.4000000;1559.4000000;1558.2000000;1559.4000000;12
02/07/22;10:00:00;1559.4000000;1559.4000000;1558.2000000;1559.4000000;89
02/07/22;10:01:00;1559.2000000;1559.4000000;1558.0000000;1558.4000000;431
02/07/22;10:02:00;1559.2000000;1559.4000000;1557.6000000;1559.2000000;928
02/07/22;10:03:00;1559.4000000;1559.4000000;1557.8000000;1559.0000000;4519
02/07/22;10:04:00;1557.4000000;1557.4000000;1555.6000000;1556.2000000;696
02/07/22;10:05:00;1556.4000000;1556.4000000;1554.0000000;1554.0000000;512
02/07/22;10:06:00;1554.6000000;1555.4000000;1553.8000000;1555.4000000;253
02/07/22;10:07:00;1555.8000000;1557.2000000;1554.2000000;1554.6000000;2488
02/07/22;10:08:00;1553.8000000;1554.8000000;1553.4000000;1553.6000000;676
02/07/22;10:09:00;1553.6000000;1554.4000000;1553.2000000;1553.2000000;121
02/07/22;10:10:00;1553.2000000;1553.8000000;1553.0000000;1553.4000000;360
02/07/22;10:11:00;1553.2000000;1556.6000000;1553.2000000;1556.6000000;107
02/07/22;10:12:00;1556.6000000;1556.6000000;1553.6000000;1555.8000000;391
02/07/22;10:13:00;1555.4000000;1555.4000000;1554.2000000;1555.2000000;39
02/07/22;10:14:00;1555.0000000;1557.0000000;1555.0000000;1555.8000000;80
02/07/22;10:15:00;1555.6000000;1556.8000000;1554.6000000;1556.0000000;176
02/07/22;10:16:00;1554.8000000;1557.0000000;1554.8000000;1555.8000000;39
02/07/22;10:17:00;1556.6000000;1557.2000000;1555.0000000;1557.2000000;110
02/07/22;10:18:00;1556.2000000;1557.4000000;1555.0000000;1556.8000000;187
02/07/22;10:19:00;1556.6000000;1556.6000000;1554.6000000;1556.0000000;16
02/07/22;10:20:00;1555.6000000;1556.2000000;1554.0000000;1554.0000000;24
02/07/22;10:21:00;1554.0000000;1554.0000000;1552.2000000;1553.0000000;2032
02/07/22;10:22:00;1553.0000000;1556.2000000;1552.6000000;1555.8000000;764
02/07/22;10:23:00;1554.8000000;1555.4000000;1553.2000000;1554.4000000;229
02/07/22;10:24:00;1555.4000000;1556.0000000;1553.0000000;1553.8000000;234
02/07/22;10:25:00;1553.2000000;1555.6000000;1553.0000000;1555.6000000;375
02/07/22;10:26:00;1554.2000000;1555.8000000;1553.8000000;1554.8000000;72
02/07/22;10:27:00;1555.8000000;1555.8000000;1554.4000000;1554.4000000;140
02/07/22;10:28:00;1555.6000000;1555.8000000;1554.4000000;1554.4000000;31
02/07/22;10:29:00;1554.4000000;1555.8000000;1554.4000000;1554.4000000;31
02/07/22;10:30:00;1555.6000000;1555.8000000;1554.6000000;1555.0000000;77
02/07/22;10:31:00;1555.0000000;1555.2000000;1553.8000000;1553.8000000;274
02/07/22;10:32:00;1553.8000000;1555.0000000;1553.8000000;1554.6000000;260
02/07/22;10:33:00;1554.2000000;1555.8000000;1554.0000000;1554.0000000;694
02/07/22;10:34:00;1554.0000000;1554.6000000;1553.0000000;1554.2000000;307
02/07/22;10:35:00;1554.2000000;1554.4000000;1553.0000000;1554.4000000;314
02/07/22;10:36:00;1553.2000000;1554.4000000;1553.2000000;1553.2000000;295
02/07/22;10:37:00;1553.2000000;1555.0000000;1552.4000000;1555.0000000;716
02/07/22;10:38:00;1553.8000000;1556.4000000;1553.8000000;1556.4000000;1542
02/07/22;10:39:00;1555.4000000;1557.6000000;1555.0000000;1557.6000000;3692
02/07/22;10:40:00;1556.2000000;1558.6000000;1556.2000000;1557.2000000;1091
02/07/22;10:41:00;1557.2000000;1558.2000000;1556.6000000;1556.8000000;61
02/07/22;10:42:00;1557.8000000;1561.0000000;1556.8000000;1560.4000000;3192
02/07/22;10:43:00;1559.2000000;1559.8000000;1558.0000000;1558.8000000;4054
02/07/22;10:44:00;1558.8000000;1560.6000000;1558.2000000;1560.0000000;690
02/07/22;10:45:00;1560.0000000;1560.6000000;1558.2000000;1559.0000000;212
02/07/22;10:46:00;1559.2000000;1560.0000000;1558.2000000;1560.0000000;363
02/07/22;10:47:00;1560.0000000;1560.0000000;1558.2000000;1558.2000000;941
02/07/22;10:48:00;1559.0000000;1560.6000000;1558.8000000;1558.8000000;1069
02/07/22;10:49:00;1559.8000000;1559.8000000;1558.8000000;1558.8000000;68
02/07/22;10:50:00;1559.6000000;1561.4000000;1558.8000000;1560.4000000;3307
02/07/22;10:51:00;1561.6000000;1562.4000000;1560.0000000;1562.0000000;3197
02/07/22;10:52:00;1562.8000000;1564.0000000;1562.6000000;1563.2000000;2194
02/07/22;10:53:00;1563.2000000;1564.2000000;1562.6000000;1564.2000000;514
02/07/22;10:54:00;1564.0000000;1564.6000000;1561.8000000;1564.6000000;4035
02/07/22;10:55:00;1564.8000000;1565.0000000;1563.6000000;1565.0000000;1364
02/07/22;10:56:00;1564.6000000;1566.8000000;1564.6000000;1565.2000000;1921
02/07/22;10:57:00;1566.2000000;1566.2000000;1564.8000000;1565.6000000;284
02/07/22;10:58:00;1565.6000000;1566.6000000;1564.6000000;1565.4000000;436
02/07/22;10:59:00;1565.2000000;1565.2000000;1564.0000000;1565.0000000;121
02/07/22;11:00:00;1565.0000000;1565.8000000;1564.0000000;1564.8000000;447
02/07/22;11:01:00;1565.0000000;1565.0000000;1561.0000000;1563.8000000;4753
02/07/22;11:02:00;1562.8000000;1565.8000000;1562.2000000;1562.2000000;2154
02/07/22;11:03:00;1563.6000000;1565.0000000;1562.6000000;1565.0000000;848
02/07/22;11:04:00;1565.2000000;1565.8000000;1565.2000000;1565.8000000;228
02/07/22;11:05:00;1566.0000000;1566.0000000;1565.0000000;1565.4000000;375
02/07/22;11:06:00;1566.4000000;1566.8000000;1563.4000000;1564.6000000;3404
02/07/22;11:07:00;1564.6000000;1565.0000000;1563.8000000;1564.4000000;744
02/07/22;11:08:00;1564.4000000;1565.8000000;1563.6000000;1565.4000000;1895
02/07/22;11:09:00;1564.2000000;1566.2000000;1563.2000000;1563.6000000;4587
02/07/22;11:10:00;1563.6000000;1564.6000000;1562.0000000;1562.8000000;263
02/07/22;11:11:00;1562.8000000;1563.8000000;1561.6000000;1562.8000000;821
02/07/22;11:12:00;1564.0000000;1564.0000000;1560.0000000;1560.0000000;4620
02/07/22;11:13:00;1560.0000000;1563.2000000;1560.0000000;1561.4000000;2294
02/07/22;11:14:00;1561.8000000;1563.0000000;1559.2000000;1560.0000000;4833
02/07/22;11:15:00;1561.0000000;1561.0000000;1558.6000000;1560.2000000;445
02/07/22;11:16:00;1560.2000000;1560.2000000;1557.6000000;1557.6000000;2215
02/07/22;11:17:00;1559.0000000;1559.8000000;1557.6000000;1558.2000000;971
02/07/22;11:18:00;1559.4000000;1559.6000000;1558.0000000;1558.0000000;1529
02/07/22;11:19:00;1557.8000000;1558.0000000;1557.0000000;1557.2000000;1657
02/07/22;11:20:00;1557.6000000;1557.6000000;1554.4000000;1556.4000000;3377
02/07/22;11:21:00;1556.2000000;1560.0000000;1555.8000000;1560.0000000;2272
02/07/22;11:22:00;1558.6000000;1559.8000000;1557.6000000;1558.6000000;1034
02/07/22;11:23:00;1559.0000000;1559.6000000;1558.8000000;1559.6000000;59
02/07/22;11:24:00;1559.6000000;1560.6000000;1558.8000000;1560.0000000;2535
02/07/22;11:25:00;1561.0000000;1561.6000000;1558.6000000;1558.6000000;281
02/07/22;11:26:00;1558.4000000;1558.4000000;1555.6000000;1556.4000000;945
02/07/22;11:27:00;1557.8000000;1557.8000000;1557.0000000;1557.6000000;85
02/07/22;11:28:00;1556.4000000;1559.0000000;1555.6000000;1559.0000000;982
02/07/22;11:29:00;1558.2000000;1558.4000000;1555.4000000;1555.4000000;218
02/07/22;11:30:00;1556.6000000;1556.6000000;1555.0000000;1556.2000000;309
02/07/22;11:31:00;1556.2000000;1556.2000000;1554.2000000;1555.0000000;958
02/07/22;11:32:00;1555.0000000;1556.6000000;1554.6000000;1556.0000000;619
02/07/22;11:33:00;1554.6000000;1556.4000000;1554.2000000;1556.2000000;763
02/07/22;11:34:00;1555.4000000;1556.2000000;1554.6000000;1554.6000000;879
02/07/22;11:35:00;1555.4000000;1556.6000000;1555.4000000;1555.6000000;698
02/07/22;11:36:00;1554.6000000;1557.4000000;1554.6000000;1557.2000000;2550
02/07/22;11:37:00;1557.6000000;1559.4000000;1557.6000000;1559.2000000;2678
02/07/22;11:38:00;1559.4000000;1559.4000000;1558.4000000;1558.4000000;438
02/07/22;11:39:00;1558.4000000;1559.2000000;1558.4000000;1558.8000000;755
02/07/22;11:40:00;1558.8000000;1561.4000000;1558.4000000;1561.4000000;1228
02/07/22;11:41:00;1561.6000000;1562.0000000;1560.4000000;1560.8000000;489
02/07/22;11:42:00;1561.4000000;1561.8000000;1560.0000000;1561.4000000;1116
02/07/22;11:43:00;1561.4000000;1562.6000000;1561.4000000;1562.6000000;1673
02/07/22;11:44:00;1562.2000000;1562.6000000;1561.2000000;1562.6000000;853
02/07/22;11:45:00;1561.6000000;1563.2000000;1561.6000000;1562.2000000;989
02/07/22;11:46:00;1563.2000000;1563.8000000;1562.4000000;1563.8000000;513
02/07/22;11:47:00;1564.0000000;1565.4000000;1563.0000000;1564.8000000;5032
02/07/22;11:48:00;1564.8000000;1569.0000000;1564.8000000;1569.0000000;6052
02/07/22;11:49:00;1568.6000000;1568.6000000;1567.4000000;1567.4000000;2768
02/07/22;11:50:00;1568.0000000;1569.0000000;1567.2000000;1569.0000000;839
02/07/22;11:51:00;1568.8000000;1569.6000000;1567.4000000;1568.2000000;2291
02/07/22;11:52:00;1568.2000000;1569.8000000;1568.2000000;1568.8000000;750
02/07/22;11:53:00;1569.4000000;1570.0000000;1568.8000000;1570.0000000;323
02/07/22;11:54:00;1570.0000000;1570.0000000;1569.0000000;1569.0000000;780
02/07/22;11:55:00;1569.8000000;1571.0000000;1568.6000000;1571.0000000;3323
02/07/22;11:56:00;1571.0000000;1573.0000000;1571.0000000;1571.6000000;1042
02/07/22;11:57:00;1571.0000000;1572.4000000;1570.6000000;1571.2000000;821
02/07/22;11:58:00;1571.4000000;1571.6000000;1569.4000000;1569.4000000;568
02/07/22;11:59:00;1570.0000000;1571.0000000;1569.2000000;1569.2000000;1110
02/07/22;12:00:00;1569.8000000;1570.8000000;1569.2000000;1569.4000000;723
02/07/22;12:01:00;1570.4000000;1570.8000000;1568.0000000;1570.0000000;2024
02/07/22;12:02:00;1570.8000000;1570.8000000;1570.0000000;1570.0000000;472
02/07/22;12:03:00;1570.0000000;1570.8000000;1570.0000000;1570.0000000;231
02/07/22;12:04:00;1570.0000000;1570.8000000;1568.6000000;1570.0000000;1243
02/07/22;12:05:00;1570.8000000;1571.0000000;1569.4000000;1569.4000000;1655
02/07/22;12:06:00;1569.4000000;1570.8000000;1568.4000000;1569.2000000;3100
02/07/22;12:07:00;1568.8000000;1569.6000000;1568.0000000;1568.6000000;1404
02/07/22;12:08:00;1568.6000000;1569.6000000;1568.4000000;1569.4000000;651
02/07/22;12:09:00;1568.6000000;1570.0000000;1568.6000000;1569.6000000;851
02/07/22;12:10:00;1569.8000000;1570.2000000;1568.2000000;1569.0000000;1281
02/07/22;12:11:00;1568.6000000;1569.8000000;1567.4000000;1568.0000000;3012
02/07/22;12:12:00;1569.0000000;1569.0000000;1566.8000000;1566.8000000;1447
02/07/22;12:13:00;1566.8000000;1567.8000000;1565.4000000;1566.0000000;2294
02/07/22;12:14:00;1566.0000000;1567.0000000;1565.6000000;1567.0000000;1961
02/07/22;12:15:00;1567.4000000;1569.8000000;1567.0000000;1568.6000000;941
02/07/22;12:16:00;1569.2000000;1570.0000000;1568.6000000;1568.8000000;602
02/07/22;12:17:00;1569.6000000;1570.2000000;1569.0000000;1570.2000000;645
02/07/22;12:18:00;1569.8000000;1572.8000000;1569.8000000;1572.0000000;3055
02/07/22;12:19:00;1571.0000000;1572.0000000;1571.0000000;1571.0000000;671
02/07/22;12:20:00;1571.0000000;1572.0000000;1570.4000000;1570.8000000;743
02/07/22;12:21:00;1572.0000000;1572.8000000;1571.6000000;1572.6000000;1707
02/07/22;12:22:00;1572.8000000;1572.8000000;1571.8000000;1572.8000000;244
02/07/22;12:23:00;1572.0000000;1574.0000000;1572.0000000;1573.0000000;1711
02/07/22;12:24:00;1573.8000000;1574.2000000;1573.2000000;1574.2000000;648
02/07/22;12:25:00;1574.2000000;1574.2000000;1572.8000000;1574.0000000;577
02/07/22;12:26:00;1574.2000000;1574.8000000;1573.0000000;1573.6000000;691
02/07/22;12:27:00;1572.8000000;1574.8000000;1572.8000000;1574.8000000;861
02/07/22;12:28:00;1574.6000000;1574.8000000;1573.2000000;1574.8000000;5714
02/07/22;12:29:00;1574.8000000;1574.8000000;1573.2000000;1574.4000000;864
